content,content_clean,content_preprocessing
tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya 0 semua. Sudah saya unistall dan reinstall tapi masih begitu 🥲,tolong dibagian absensi agar diperbaiki dong padahal masuk kelas terus dan absen juga selalu ditick dosen tapi kenapa di kehadiran saya  semua sudah saya unistall dan reinstall tapi masih begitu 🥲,"['dibagian', 'absensi', 'diperbaiki', 'dong', 'padahal', 'masuk', 'kelas', 'terus', 'absen', 'selalu', 'ditick', 'dosen', 'kehadiran', 'semua', 'unistall', 'reinstall', '🥲']"
Selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,selalu ngelag aplikasi nya disaat ada tugas yang harus dikerjakan tidak langsung masuk delay beberapa hari,"['selalu', 'ngelag', 'aplikasi', 'nya', 'disaat', 'tugas', 'dikerjakan', 'langsung', 'masuk', 'delay', 'beberapa', 'hari']"
"Saran, Tambahkan fitur zoom in/out, saat Presensi QR!",saran tambahkan fitur zoom inout saat presensi qr,"['saran', 'tambahkan', 'fitur', 'zoom', 'inout', 'presensi', 'qr']"
Apk ini sangat membantu para maha siswa stikes panti rapih Yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi 🙏,apk ini sangat membantu para maha siswa stikes panti rapih yogyakarta untuk memgakses materi mata kuliah dan masih banyak lagi,"['apk', 'sangat', 'membantu', 'maha', 'siswa', 'stikes', 'panti', 'rapih', 'yogyakarta', 'memgakses', 'materi', 'mata', 'kuliah', 'banyak']"
Absensi edlink nya selalu bermasalah,absensi edlink nya selalu bermasalah,"['absensi', 'edlink', 'nya', 'selalu', 'bermasalah']"
"Masih kurang sinkron dengan SIADIKNONA kampus, ada beberapa kelas yang tidak muncul, nilai di KHS/KRS juga.",masih kurang sinkron dengan siadiknona kampus ada beberapa kelas yang tidak muncul nilai di khskrs juga,"['kurang', 'sinkron', 'siadiknona', 'kampus', 'beberapa', 'kelas', 'muncul', 'nilai', 'khskrs']"
Min kenapa saat login tidak bisa. Pke akun google. Padahal dulu pernah. Tp saat instal ulang dan login ulang jdi tdk bisa masuk....,min kenapa saat login tidak bisa pke akun google padahal dulu pernah tp saat instal ulang dan login ulang jdi tdk bisa masuk,"['min', 'login', 'pke', 'akun', 'google', 'padahal', 'dulu', 'pernah', 'tp', 'instal', 'ulang', 'login', 'ulang', 'jdi', 'tdk', 'masuk']"
"Gabisa ubah profil aneh bgt, pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas",gabisa ubah profil aneh bgt pdhl penting buat nandain kita dari orang lain dlm bukti pengiriman tugas,"['gabisa', 'ubah', 'profil', 'aneh', 'bgt', 'pdhl', 'penting', 'buat', 'nandain', 'orang', 'dlm', 'bukti', 'pengiriman', 'tugas']"
"Kenapa edlink suka tibatiba ke log out sendirii, dan tibatiba ngga bisa absen jugaa:))))))",kenapa edlink suka tibatiba ke log out sendirii dan tibatiba ngga bisa absen jugaa,"['edlink', 'suka', 'tibatiba', 'log', 'out', 'sendirii', 'tibatiba', 'ngga', 'absen', 'jugaa']"
Tiba tiba EdLink saya error,tiba tiba edlink saya error,"['tiba', 'tiba', 'edlink', 'error']"
Semenjak di update gak bisa log in terus padahal email sudah benar...,semenjak di update gak bisa log in terus padahal email sudah benar,"['semenjak', 'update', 'gak', 'log', 'in', 'terus', 'padahal', 'email', 'benar']"
EdLink saya tidak bisa login/ dibuka,edlink saya tidak bisa login dibuka,"['edlink', 'login', 'dibuka']"
Tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya 1 dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,tolong dong untuk presensi buat ambil kode barcode lewat foto yang tersimpan saya kalau tidak ada fitur itu jadi kesulitan karena hp saya  dan keadaannya saya sedang sendirian di jalan tolong buat fitur itu,"['dong', 'presensi', 'buat', 'ambil', 'kode', 'barcode', 'lewat', 'foto', 'tersimpan', 'kalau', 'fitur', 'jadi', 'kesulitan', 'hp', 'keadaannya', 'sedang', 'sendirian', 'jalan', 'buat', 'fitur']"
shifa,shifa,['shifa']
"maaf saya tarik kembali bintang satunya, maaf ya, tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama, mamaku bilang kalau kita harus jujur, terimakasih atas aplikasinya",maaf saya tarik kembali bintang satunya maaf ya tugasku sudah kelihatan tadi tidak padahal karena loadingnya lama mamaku bilang kalau kita harus jujur terimakasih atas aplikasinya,"['maaf', 'tarik', 'bintang', 'satunya', 'maaf', 'tugasku', 'kelihatan', 'tadi', 'padahal', 'loadingnya', 'lama', 'mamaku', 'bilang', 'kalau', 'jujur', 'terimakasih', 'atas', 'aplikasinya']"
kata nuri bagus dan membantu pembelajaran,kata nuri bagus dan membantu pembelajaran,"['kata', 'nuri', 'bagus', 'membantu', 'pembelajaran']"
"aplikasi makin aneh, mau bayar lewat mandiri pun gak bisa, pass di TF muncul tulisan, maaf rekening ini tidak di temukan, trus satu lagi, kok tagihan SPP jadi doubel, padahal pas liat beberapa hari yang lalu gak gitu, kalo satunya buat semseter 4 sangat tidak logis, baru aja masuk semseter 3 masa udah ada tagihan semester 4",aplikasi makin aneh mau bayar lewat mandiri pun gak bisa pass di tf muncul tulisan maaf rekening ini tidak di temukan trus satu lagi kok tagihan spp jadi doubel padahal pas liat beberapa hari yang lalu gak gitu kalo satunya buat semseter  sangat tidak logis baru aja masuk semseter  masa udah ada tagihan semester,"['aplikasi', 'makin', 'aneh', 'mau', 'bayar', 'lewat', 'mandiri', 'gak', 'pass', 'tf', 'muncul', 'tulisan', 'maaf', 'rekening', 'temukan', 'trus', 'satu', 'kok', 'tagihan', 'spp', 'jadi', 'doubel', 'padahal', 'pas', 'liat', 'beberapa', 'hari', 'lalu', 'gak', 'gitu', 'kalo', 'satunya', 'buat', 'semseter', 'sangat', 'logis', 'baru', 'aja', 'masuk', 'semseter', 'masa', 'udah', 'tagihan', 'semester']"
"Mau login pake siakad tapi gak bisa, malah disuruh masukin email(?)",mau login pake siakad tapi gak bisa malah disuruh masukin email,"['mau', 'login', 'pake', 'siakad', 'gak', 'malah', 'disuruh', 'masukin', 'email']"
Aku udah nerima kode Verifikasi berkali² tapi ttp nggak bisa dasar error,aku udah nerima kode verifikasi berkali² tapi ttp nggak bisa dasar error,"['aku', 'udah', 'nerima', 'kode', 'verifikasi', 'berkali²', 'ttp', 'dasar', 'error']"
tolong saya mau upload tugas malah tidak ada portalnya adahal teman-teman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,tolong saya mau upload tugas malah tidak ada portalnya adahal temanteman yg lain tidak ada error sama sekali hari ini deadline saya sudah kirim email tapi tidak di respon bagaimana ini,"['mau', 'upload', 'tugas', 'malah', 'portalnya', 'adahal', 'temanteman', 'yg', 'error', 'sama', 'sekali', 'hari', 'deadline', 'kirim', 'email', 'respon', 'bagaimana']"
Apk tidak bisa di pakai tidak ada notifikasi tugas,apk tidak bisa di pakai tidak ada notifikasi tugas,"['apk', 'pakai', 'notifikasi', 'tugas']"
Ini kenapa sih nggak bisa menggabungkan dengan akun Perguruan tinggi,ini kenapa sih nggak bisa menggabungkan dengan akun perguruan tinggi,"['sih', 'menggabungkan', 'akun', 'perguruan', 'tinggi']"
Siang ka. Knapa di hp saya edlink nya tidak bisa di install. Sedangkan aplikasi yang lebih besar dari edlink bisa? Terimakasih.,siang ka knapa di hp saya edlink nya tidak bisa di install sedangkan aplikasi yang lebih besar dari edlink bisa terimakasih,"['siang', 'ka', 'knapa', 'hp', 'edlink', 'nya', 'install', 'aplikasi', 'lebih', 'besar', 'edlink', 'terimakasih']"
Tak bisa login padahal username dan pw sudah benar,tak bisa login padahal username dan pw sudah benar,"['tak', 'login', 'padahal', 'username', 'pw', 'benar']"
"NOTIF GETAR AMPAS, UDAH DI MATIIN TAPI TETEP GETAR. SAMPAH",notif getar ampas udah di matiin tapi tetep getar sampah,"['notif', 'getar', 'ampas', 'udah', 'matiin', 'tetep', 'getar', 'sampah']"
"Kenapa edlink sering sekali keluar otomatis, sampai sampai ingin masukan kata sandi, tidak bisa, padahal kata sandinya sudah benar, tolong dongggggg",kenapa edlink sering sekali keluar otomatis sampai sampai ingin masukan kata sandi tidak bisa padahal kata sandinya sudah benar tolong dongggggg,"['edlink', 'sering', 'sekali', 'keluar', 'otomatis', 'masukan', 'kata', 'sandi', 'padahal', 'kata', 'sandinya', 'benar', 'dongggggg']"
"Setelah edlink di update, saya coba login dengan akun saya tapi tidak bisa, mohon arahannya kenapa bisa seperti ini??? Padahal banyak data-data penting yang mau saya ambil🙏🏻🙏🏻🙏🏻 terus kemudian edlinknya malah tidak muncul di layar utama HP🙏🏻🙏🏻🙏🏻",setelah edlink di update saya coba login dengan akun saya tapi tidak bisa mohon arahannya kenapa bisa seperti ini padahal banyak datadata penting yang mau saya ambil terus kemudian edlinknya malah tidak muncul di layar utama hp,"['edlink', 'update', 'coba', 'login', 'akun', 'mohon', 'arahannya', 'padahal', 'banyak', 'datadata', 'penting', 'mau', 'ambil', 'terus', 'kemudian', 'edlinknya', 'malah', 'muncul', 'layar', 'utama', 'hp']"
Pengen serius kuliah malah aplikasi ngebug. Menghambat bikin malas. Tolong banget bikin menghambat banget. Tolong segera perbaiki.,pengen serius kuliah malah aplikasi ngebug menghambat bikin malas tolong banget bikin menghambat banget tolong segera perbaiki,"['pengen', 'serius', 'kuliah', 'malah', 'aplikasi', 'ngebug', 'menghambat', 'bikin', 'malas', 'banget', 'bikin', 'menghambat', 'banget', 'segera', 'perbaiki']"
So,so,['so']
"T tak tu tu ttp td tau rt5tzx tu yg tau dss di, dunia z dr dr d CD d",t tak tu tu ttp td tau rttzx tu yg tau dss di dunia z dr dr d cd d,"['t', 'tak', 'tu', 'tu', 'ttp', 'td', 'tau', 'rttzx', 'tu', 'yg', 'tau', 'dss', 'dunia', 'z', 'dr', 'dr', 'd', 'cd', 'd']"
"Sangat bagus dan bermanfaat sekali bagi saya, terimakasih 🙏",sangat bagus dan bermanfaat sekali bagi saya terimakasih,"['sangat', 'bagus', 'bermanfaat', 'sekali', 'terimakasih']"
Saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,saya sangat merasa terbantu dengan adanya aplikasi edlink mempermudah saya untuk mengetahu nilai dan mata kuliah saya beserta hasil ujian,"['sangat', 'merasa', 'terbantu', 'adanya', 'aplikasi', 'edlink', 'mempermudah', 'mengetahu', 'nilai', 'mata', 'kuliah', 'beserta', 'hasil', 'ujian']"
Sudah lumayan baik,sudah lumayan baik,"['lumayan', 'baik']"
Bagus. Sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']"
Kok di edlink nilai aku yg semester ini malah kecampur sama Nilai semester kmren ya,kok di edlink nilai aku yg semester ini malah kecampur sama nilai semester kmren ya,"['kok', 'edlink', 'nilai', 'aku', 'yg', 'semester', 'malah', 'kecampur', 'sama', 'nilai', 'semester', 'kmren']"
Kenapa saya tidak bisa login padahal Nim sama password saya sudah benar,kenapa saya tidak bisa login padahal nim sama password saya sudah benar,"['login', 'padahal', 'nim', 'sama', 'password', 'benar']"
Susah nginstalnya,susah nginstalnya,"['susah', 'nginstalnya']"
Masa aku udah bayar ukt tpi statusnya belum bayar. Kan jadi ga bisa ngisi KRS,masa aku udah bayar ukt tpi statusnya belum bayar kan jadi ga bisa ngisi krs,"['masa', 'aku', 'udah', 'bayar', 'ukt', 'tpi', 'statusnya', 'bayar', 'kan', 'jadi', 'ga', 'ngisi', 'krs']"
Ini kenapa yah setiap saya mau login koneksi server bermasalah terus?,ini kenapa yah setiap saya mau login koneksi server bermasalah terus,"['yah', 'mau', 'login', 'koneksi', 'server', 'bermasalah', 'terus']"
Belom bisa pake paylater,belom bisa pake paylater,"['belom', 'pake', 'paylater']"
