content,content_clean,content_preprocessing
"Saya kasih bintang 1 apa"" an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka Nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan",saya kasih bintang  apa an kaya gini saya yg tidak bisa ngerjain tugas karena edlink saya engga mau ke buka nim saya pasword saya udh betul ko keterangan nya malah di suruh cek ulang sudah saya coba masuk lagi hasilnya tetap sama tolong diperbaiki lagi dong kalo begini terganggu tugas kuliah yang mau saya kerjakan,"['kasih', 'bintang', 'apa', 'an', 'kaya', 'gini', 'yg', 'ngerjain', 'tugas', 'edlink', 'engga', 'mau', 'buka', 'nim', 'pasword', 'udh', 'betul', 'ko', 'keterangan', 'nya', 'malah', 'suruh', 'cek', 'ulang', 'coba', 'masuk', 'hasilnya', 'tetap', 'sama', 'diperbaiki', 'dong', 'kalo', 'begini', 'terganggu', 'tugas', 'kuliah', 'mau', 'kerjakan']"
"Ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget, aplikasi nyusahin",ngapa dah kampus gue kerjasama sama ini aplikasi nyusahin doang sistemnya belum siap datanya gak cocok mau bayar ukt ribet banget aplikasi nyusahin,"['ngapa', 'dah', 'kampus', 'gue', 'kerjasama', 'sama', 'aplikasi', 'nyusahin', 'doang', 'sistemnya', 'siap', 'datanya', 'gak', 'cocok', 'mau', 'bayar', 'ukt', 'ribet', 'banget', 'aplikasi', 'nyusahin']"
"Semenjak di Update beberapa Minggu lalu, kok Pas buka edlink yg muncul bukan Nilai D4 saat ini, tp yg muncul Nilai D3 beberpa tahun lalu, itupun hnya sebagian yg muncul",semenjak di update beberapa minggu lalu kok pas buka edlink yg muncul bukan nilai d saat ini tp yg muncul nilai d beberpa tahun lalu itupun hnya sebagian yg muncul,"['semenjak', 'update', 'beberapa', 'minggu', 'lalu', 'kok', 'pas', 'buka', 'edlink', 'yg', 'muncul', 'bukan', 'nilai', 'd', 'tp', 'yg', 'muncul', 'nilai', 'd', 'beberpa', 'tahun', 'lalu', 'itupun', 'hnya', 'sebagian', 'yg', 'muncul']"
"Makin kesini makin gjls,mending download epep",makin kesini makin gjlsmending download epep,"['makin', 'kesini', 'makin', 'gjlsmending', 'download', 'epep']"
Sangat bagus sekali 🥰👌,sangat bagus sekali 🥰,"['sangat', 'bagus', 'sekali', '🥰']"
"Mau Bayar ukt tapi harus ngisi email/no.handphone padahal udah keisi semua, gimana ya min? Mohon dibalas secepatnya 😭🙏",mau bayar ukt tapi harus ngisi emailnohandphone padahal udah keisi semua gimana ya min mohon dibalas secepatnya,"['mau', 'bayar', 'ukt', 'ngisi', 'emailnohandphone', 'padahal', 'udah', 'keisi', 'semua', 'gimana', 'min', 'mohon', 'dibalas', 'secepatnya']"
"Kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot, skrg masa harus masukan ini dulu ini dulu ribet, orang pengen liat nilai aja susah, tolong deh gausah di update² sesuatu yang udah memudahkan, hal² yg di cari skrg tuh yang ga ngeribetin, ini malah di upgrade ke hal² ga jelas, udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah",kenapasi hrus ada update² segala enakan kaya kemaren ngaksesnya ga repot skrg masa harus masukan ini dulu ini dulu ribet orang pengen liat nilai aja susah tolong deh gausah di update² sesuatu yang udah memudahkan hal² yg di cari skrg tuh yang ga ngeribetin ini malah di upgrade ke hal² ga jelas udah enak enak dulu login cuma masukin nim sama kata sandi malah diubah,"['kenapasi', 'hrus', 'update²', 'segala', 'enakan', 'kaya', 'kemaren', 'ngaksesnya', 'ga', 'repot', 'skrg', 'masa', 'masukan', 'dulu', 'dulu', 'ribet', 'orang', 'pengen', 'liat', 'nilai', 'aja', 'susah', 'deh', 'gausah', 'update²', 'udah', 'memudahkan', 'hal²', 'yg', 'cari', 'skrg', 'tuh', 'ga', 'ngeribetin', 'malah', 'upgrade', 'hal²', 'ga', 'jelas', 'udah', 'enak', 'enak', 'dulu', 'login', 'cuma', 'masukin', 'nim', 'sama', 'kata', 'sandi', 'malah', 'diubah']"
Terima kasih atas fasilitas ini,terima kasih atas fasilitas ini,"['terima', 'kasih', 'atas', 'fasilitas']"
Kenapa dowload di iphone ngga bisa sihhh,kenapa dowload di iphone ngga bisa sihhh,"['dowload', 'iphone', 'ngga', 'sihhh']"
Masalah kelas hilang sudah terselaikan berkat bantuan admin. Terima Kasih,masalah kelas hilang sudah terselaikan berkat bantuan admin terima kasih,"['masalah', 'kelas', 'hilang', 'terselaikan', 'berkat', 'bantuan', 'admin', 'terima', 'kasih']"
"Apaan nilai di web kampus sama edlink beda jauh, gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok, data nya yang bener dong. Mendingan gak usah pake aplikasi ini gak bener datanya, bikin emosi aja liatnya",apaan nilai di web kampus sama edlink beda jauh gak ada ya di web kampus mengulang matkul eh ini nilainya malah anjlok data nya yang bener dong mendingan gak usah pake aplikasi ini gak bener datanya bikin emosi aja liatnya,"['apaan', 'nilai', 'web', 'kampus', 'sama', 'edlink', 'beda', 'jauh', 'gak', 'web', 'kampus', 'mengulang', 'matkul', 'eh', 'nilainya', 'malah', 'anjlok', 'data', 'nya', 'bener', 'dong', 'mendingan', 'gak', 'usah', 'pake', 'aplikasi', 'gak', 'bener', 'datanya', 'bikin', 'emosi', 'aja', 'liatnya']"
Halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga🙏,halo kak tolong untuk developer nya agar memudah download file materi dan tugas yg di bagikan oleh dosen dengan menaruh tombol unduh dan langsung mengunduh di aplikasi tanpa menggunakan pihak ketiga,"['halo', 'kak', 'developer', 'nya', 'memudah', 'download', 'file', 'materi', 'tugas', 'yg', 'bagikan', 'dosen', 'menaruh', 'tombol', 'unduh', 'langsung', 'mengunduh', 'aplikasi', 'menggunakan', 'pihak', 'ketiga']"
"Edlink taekkkk, gabisa d akses d web",edlink taekkkk gabisa d akses d web,"['edlink', 'taekkkk', 'gabisa', 'd', 'akses', 'd', 'web']"
login ajjj susah,login ajjj susah,"['login', 'ajjj', 'susah']"
"Ini matakuliah saya hilang hilang tak betul lah, kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas, kacau lah",ini matakuliah saya hilang hilang tak betul lah kalo di lulusin nggak apa juga ni tugas saya numpuk nggak bisa ngirim tugas kacau lah,"['matakuliah', 'hilang', 'hilang', 'tak', 'betul', 'lah', 'kalo', 'lulusin', 'apa', 'ni', 'tugas', 'numpuk', 'ngirim', 'tugas', 'kacau', 'lah']"
tidak ada kejelasan untuk pembayaran dengan sevima pay,tidak ada kejelasan untuk pembayaran dengan sevima pay,"['kejelasan', 'pembayaran', 'sevima', 'pay']"
Mantap,mantap,['mantap']
"Apk Gk bisa dibuka padahal buka youtube,ig dll bisa, saya jadi sering telat kirim tugas dan masuk kuliah online",apk gk bisa dibuka padahal buka youtubeig dll bisa saya jadi sering telat kirim tugas dan masuk kuliah online,"['apk', 'gk', 'dibuka', 'padahal', 'buka', 'youtubeig', 'jadi', 'sering', 'telat', 'kirim', 'tugas', 'masuk', 'kuliah', 'online']"
"Udah ga bisa scan, sekarang malah error lagi. Woi kenapa malah jadwal kuliah saya ke apus dari kalender",udah ga bisa scan sekarang malah error lagi woi kenapa malah jadwal kuliah saya ke apus dari kalender,"['udah', 'ga', 'scan', 'sekarang', 'malah', 'error', 'woi', 'malah', 'jadwal', 'kuliah', 'apus', 'kalender']"
Disuruh buka di aplikasi padahal udah di aplikasi 😭😭 lihat jawaban quiz,disuruh buka di aplikasi padahal udah di aplikasi  lihat jawaban quiz,"['disuruh', 'buka', 'aplikasi', 'padahal', 'udah', 'aplikasi', 'lihat', 'jawaban', 'quiz']"
Ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa,ini kuis gabisa di klik gimana malah diarahkan ke aplikasi kan udah download aplikasi nya udah update juga ngapa malah diarahin keaplikasi lagi ujung ujungnya gabisa,"['kuis', 'gabisa', 'klik', 'gimana', 'malah', 'diarahkan', 'aplikasi', 'kan', 'udah', 'download', 'aplikasi', 'nya', 'udah', 'update', 'ngapa', 'malah', 'diarahin', 'keaplikasi', 'ujung', 'ujungnya', 'gabisa']"
plis dong lagian quiz ini gw gabisa akses quiz nya,plis dong lagian quiz ini gw gabisa akses quiz nya,"['plis', 'dong', 'lagian', 'quiz', 'gw', 'gabisa', 'akses', 'quiz', 'nya']"
Tiba-tiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa,tibatiba ga ada angin ga ada ujan akun anda terblokir padahal kemaren² baik² aja kok skrg pas gue mau buka kkaga bisa,"['tibatiba', 'ga', 'angin', 'ga', 'ujan', 'akun', 'terblokir', 'padahal', 'kemaren²', 'baik²', 'aja', 'kok', 'skrg', 'pas', 'gue', 'mau', 'buka', 'kkaga']"
"Kenapa ada update di hari Minggu? Saya jadi tidak bisa login karena ada tulisan silakan login melalui SSO, tapi diklik tidak ada respons. Sudah dicoba melalui laptop, handphone, komputer sama saja. Sekarang bagaimana ini saya mau mengumpulkan tugas, hari ini deadline. Tahu tidak hal mendasar dari update, jika tidak ada yang rusak mengapa diperbarui? Tim Sevima, ayolah jika ada update dicek dahulu dengan benar baru diterapkan, buat aplikasi kok banyak error begini.",kenapa ada update di hari minggu saya jadi tidak bisa login karena ada tulisan silakan login melalui sso tapi diklik tidak ada respons sudah dicoba melalui laptop handphone komputer sama saja sekarang bagaimana ini saya mau mengumpulkan tugas hari ini deadline tahu tidak hal mendasar dari update jika tidak ada yang rusak mengapa diperbarui tim sevima ayolah jika ada update dicek dahulu dengan benar baru diterapkan buat aplikasi kok banyak error begini,"['update', 'hari', 'minggu', 'jadi', 'login', 'tulisan', 'silakan', 'login', 'melalui', 'sso', 'diklik', 'respons', 'dicoba', 'melalui', 'laptop', 'handphone', 'komputer', 'sama', 'sekarang', 'bagaimana', 'mau', 'mengumpulkan', 'tugas', 'hari', 'deadline', 'tahu', 'mendasar', 'update', 'rusak', 'diperbarui', 'tim', 'sevima', 'ayolah', 'update', 'dicek', 'benar', 'baru', 'diterapkan', 'buat', 'aplikasi', 'kok', 'banyak', 'error', 'begini']"
"Lumayan membantu, hanya saja setelah tugas diserahkan tidak ada arsipnya",lumayan membantu hanya saja setelah tugas diserahkan tidak ada arsipnya,"['lumayan', 'membantu', 'tugas', 'diserahkan', 'arsipnya']"
Dl bagus..tp skrng sudah gsering bermasalah...yg loading nya lama banget,dl bagustp skrng sudah gsering bermasalahyg loading nya lama banget,"['dl', 'bagustp', 'skrng', 'gsering', 'bermasalahyg', 'loading', 'nya', 'lama', 'banget']"
GOOD APP... TX...,good app tx,"['good', 'app', 'tx']"
"tambahkan fitur scan barcode dari galeri, jangan menyusahkan user",tambahkan fitur scan barcode dari galeri jangan menyusahkan user,"['tambahkan', 'fitur', 'scan', 'barcode', 'galeri', 'jangan', 'menyusahkan', 'user']"
"Yeee scan barcode nya udah bisa dong. Buat yang lain kalo scan barcode nya blur, coba ubah ukuran font nya jadi paling kecil, nanti scan barcode nya pasti jernih lagi. Sukses selaluu, ini aplikasi membantu bgt buat perkuliahan🤍",yeee scan barcode nya udah bisa dong buat yang lain kalo scan barcode nya blur coba ubah ukuran font nya jadi paling kecil nanti scan barcode nya pasti jernih lagi sukses selaluu ini aplikasi membantu bgt buat perkuliahan🤍,"['yeee', 'scan', 'barcode', 'nya', 'udah', 'dong', 'buat', 'kalo', 'scan', 'barcode', 'nya', 'blur', 'coba', 'ubah', 'ukuran', 'font', 'nya', 'jadi', 'paling', 'kecil', 'scan', 'barcode', 'nya', 'jernih', 'sukses', 'selaluu', 'aplikasi', 'membantu', 'bgt', 'buat', 'perkuliahan🤍']"
sangat baik,sangat baik,"['sangat', 'baik']"
"LEMOT ASW NGESTALK DI LOGO TERUS LOADING LAMA WIFI KENCENG TETEO GA NGARUH , NGIRIM FILE LAMA BANGET, LOADINGNYA LAMA ANJG NI APK TEKAT NGUMPULIN TUGAS",lemot asw ngestalk di logo terus loading lama wifi kenceng teteo ga ngaruh  ngirim file lama banget loadingnya lama anjg ni apk tekat ngumpulin tugas,"['lemot', 'asw', 'ngestalk', 'logo', 'terus', 'loading', 'lama', 'wifi', 'kenceng', 'teteo', 'ga', 'ngaruh', 'ngirim', 'file', 'lama', 'banget', 'loadingnya', 'lama', 'anjg', 'ni', 'apk', 'tekat', 'ngumpulin', 'tugas']"
Ok,ok,[]
Ngebug parah baru Download. Loading lama pencarian universitas,ngebug parah baru download loading lama pencarian universitas,"['ngebug', 'parah', 'baru', 'download', 'loading', 'lama', 'pencarian', 'universitas']"
Parah edlink sekarang scan absen nge-blur tolong cepat diperbaiki🙏,parah edlink sekarang scan absen ngeblur tolong cepat diperbaiki,"['parah', 'edlink', 'sekarang', 'scan', 'absen', 'ngeblur', 'cepat', 'diperbaiki']"
ok,ok,[]
Good,good,['good']
Lemot,lemot,['lemot']
"teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode, padahal saya coba di kamera hp bawaan jernih. mungkin ada bug di aplikasi edlink, hp saya oppo a54 mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya. mohon segera di perbaiki secepatnya, terimakasih.",teruntuk developer edlink saya tidak bisa presensi barcode di karenakan kamera dari edlink buram dan tidak bisa nge scan barcode padahal saya coba di kamera hp bawaan jernih mungkin ada bug di aplikasi edlink hp saya oppo a mohon perbaiki secepatnya karena sangat mengganggu aktivitas perkuliahan saya mohon segera di perbaiki secepatnya terimakasih,"['teruntuk', 'developer', 'edlink', 'presensi', 'barcode', 'karenakan', 'kamera', 'edlink', 'buram', 'nge', 'scan', 'barcode', 'padahal', 'coba', 'kamera', 'hp', 'bawaan', 'jernih', 'mungkin', 'bug', 'aplikasi', 'edlink', 'hp', 'oppo', 'a', 'mohon', 'perbaiki', 'secepatnya', 'sangat', 'mengganggu', 'aktivitas', 'perkuliahan', 'mohon', 'segera', 'perbaiki', 'secepatnya', 'terimakasih']"
Edlink eror loading terus kek mana buat tugas,edlink eror loading terus kek mana buat tugas,"['edlink', 'eror', 'loading', 'terus', 'kek', 'mana', 'buat', 'tugas']"
Ini mau update apa gimna? Lemot bngt! Tugas numpuk woyyyy tolong laah,ini mau update apa gimna lemot bngt tugas numpuk woyyyy tolong laah,"['mau', 'update', 'apa', 'gimna', 'lemot', 'bngt', 'tugas', 'numpuk', 'woyyyy', 'laah']"
"banyak banget bug, ni aplikasi padahal dipake sm buanyak banget universitas loh, secepatnya lah di perbaiki bug itu",banyak banget bug ni aplikasi padahal dipake sm buanyak banget universitas loh secepatnya lah di perbaiki bug itu,"['banyak', 'banget', 'bug', 'ni', 'aplikasi', 'padahal', 'dipake', 'sm', 'buanyak', 'banget', 'universitas', 'loh', 'secepatnya', 'lah', 'perbaiki', 'bug']"
"Gara"" muser mulu 15 soal baruku kerjakan 2 soal kalo gini gmana bro?",gara muser mulu  soal baruku kerjakan  soal kalo gini gmana bro,"['gara', 'muser', 'mulu', 'soal', 'baruku', 'kerjakan', 'soal', 'kalo', 'gini', 'gmana', 'bro']"
"Di perbaikilah dikit² server eror kocak amat, orang mau ngumpul tugas juga ribet",di perbaikilah dikit² server eror kocak amat orang mau ngumpul tugas juga ribet,"['perbaikilah', 'dikit²', 'server', 'eror', 'kocak', 'orang', 'mau', 'ngumpul', 'tugas', 'ribet']"
Perbaiki masalah sinyal lah. Mau ngumpul tugas susah amat,perbaiki masalah sinyal lah mau ngumpul tugas susah amat,"['perbaiki', 'masalah', 'sinyal', 'lah', 'mau', 'ngumpul', 'tugas', 'susah']"
Ngelag trus aneh,ngelag trus aneh,"['ngelag', 'trus', 'aneh']"
Good,good,['good']
"Semakin di update, scan kamera jadi kabus, jadi nggak guna ni aplikasi",semakin di update scan kamera jadi kabus jadi nggak guna ni aplikasi,"['semakin', 'update', 'scan', 'kamera', 'jadi', 'kabus', 'jadi', 'ni', 'aplikasi']"
"kalau sy kamera kode QR sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus, nah pas mau absen lewat kode QR malah kameranya buram, gimana nih solusinya",kalau sy kamera kode qr sy yang buram padahal sy cek kamera pake fhoto hasilnya bagus nah pas mau absen lewat kode qr malah kameranya buram gimana nih solusinya,"['kalau', 'sy', 'kamera', 'kode', 'qr', 'sy', 'buram', 'padahal', 'sy', 'cek', 'kamera', 'pake', 'fhoto', 'hasilnya', 'bagus', 'nah', 'pas', 'mau', 'absen', 'lewat', 'kode', 'qr', 'malah', 'kameranya', 'buram', 'gimana', 'nih', 'solusinya']"
Cukup membantu dalam sistem perkuliahan online,cukup membantu dalam sistem perkuliahan online,"['cukup', 'membantu', 'sistem', 'perkuliahan', 'online']"
"Kenapa di saya aplikasi ini keseringan nge bug? Dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas, tolong segera di perbaiki kak Terimakasih",kenapa di saya aplikasi ini keseringan nge bug dang nge bug nya selalu di saat saya ada kelas ataupun mau menyetor kan tugas tolong segera di perbaiki kak terimakasih,"['aplikasi', 'keseringan', 'nge', 'bug', 'dang', 'nge', 'bug', 'nya', 'selalu', 'kelas', 'ataupun', 'mau', 'menyetor', 'kan', 'tugas', 'segera', 'perbaiki', 'kak', 'terimakasih']"
"Kenapa ketika presensi QR kamera nya buram ya min? sehingga saya nggak bisa isi absen, padahal kamera asli saya jernih lohh😢",kenapa ketika presensi qr kamera nya buram ya min sehingga saya nggak bisa isi absen padahal kamera asli saya jernih lohh,"['presensi', 'qr', 'kamera', 'nya', 'buram', 'min', 'isi', 'absen', 'padahal', 'kamera', 'asli', 'jernih', 'lohh']"
"Kadang membantu kadang bikin jengkel. Tapi lebih banyak bikin jengkelnya. Ambil contoh aja pas ada tugas, yang di tambah dateline mepet dan harus kirim lewat edlink, masak pas mau masuk malah terjadi kesalah pada server. Udah aku lakuin segala cara masih aja kayak gitu. Alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin. Di mohon untuk di perbaiki lagi. Jangan cuman update terus, tapi gak ada perkembangan yang signifikan",kadang membantu kadang bikin jengkel tapi lebih banyak bikin jengkelnya ambil contoh aja pas ada tugas yang di tambah dateline mepet dan harus kirim lewat edlink masak pas mau masuk malah terjadi kesalah pada server udah aku lakuin segala cara masih aja kayak gitu alhasil bukanya membantu malah datelin terlewat dan gakbisa di kumpulin di mohon untuk di perbaiki lagi jangan cuman update terus tapi gak ada perkembangan yang signifikan,"['kadang', 'membantu', 'kadang', 'bikin', 'jengkel', 'lebih', 'banyak', 'bikin', 'jengkelnya', 'ambil', 'contoh', 'aja', 'pas', 'tugas', 'tambah', 'dateline', 'mepet', 'kirim', 'lewat', 'edlink', 'masak', 'pas', 'mau', 'masuk', 'malah', 'terjadi', 'kesalah', 'server', 'udah', 'aku', 'lakuin', 'segala', 'cara', 'aja', 'kayak', 'gitu', 'alhasil', 'bukanya', 'membantu', 'malah', 'datelin', 'terlewat', 'gakbisa', 'kumpulin', 'mohon', 'perbaiki', 'jangan', 'cuman', 'update', 'terus', 'gak', 'perkembangan', 'signifikan']"
Muter teruuss,muter teruuss,"['muter', 'teruuss']"
"Admin kenapa Tidak bisa absen menggunakan barcode di edlink, menggunakan akun ku, biasa bisa tapi kali ini tidak bisa lagi, mohon solusinya adamin",admin kenapa tidak bisa absen menggunakan barcode di edlink menggunakan akun ku biasa bisa tapi kali ini tidak bisa lagi mohon solusinya adamin,"['admin', 'absen', 'menggunakan', 'barcode', 'edlink', 'menggunakan', 'akun', 'ku', 'biasa', 'kali', 'mohon', 'solusinya', 'adamin']"
Sudah bisa kak alhamdulillah,sudah bisa kak alhamdulillah,"['kak', 'alhamdulillah']"
"Absen perlu pakai 2 device ? Ntah gw yg gk tau cara absen cuma pakai 1 device aja atau emng aplikasi ini emng msh banyak yg cacat, masa untuk absensi perlu pakai 2 device",absen perlu pakai  device  ntah gw yg gk tau cara absen cuma pakai  device aja atau emng aplikasi ini emng msh banyak yg cacat masa untuk absensi perlu pakai  device,"['absen', 'perlu', 'pakai', 'device', 'ntah', 'gw', 'yg', 'gk', 'tau', 'cara', 'absen', 'cuma', 'pakai', 'device', 'aja', 'emng', 'aplikasi', 'emng', 'msh', 'banyak', 'yg', 'cacat', 'masa', 'absensi', 'perlu', 'pakai', 'device']"
Memudahhkan mahasiswa dalam akses studinya,memudahhkan mahasiswa dalam akses studinya,"['memudahhkan', 'mahasiswa', 'akses', 'studinya']"
Camera nya buram setelan update,camera nya buram setelan update,"['camera', 'nya', 'buram', 'setelan', 'update']"
Notivikasi sering tidak muncul sehingga sering ketinggalan informasi. Tolong ditingkatkan kembali 🙏🏻,notivikasi sering tidak muncul sehingga sering ketinggalan informasi tolong ditingkatkan kembali,"['notivikasi', 'sering', 'muncul', 'sering', 'ketinggalan', 'informasi', 'ditingkatkan']"
Bug sendiri anehhh,bug sendiri anehhh,"['bug', 'sendiri', 'anehhh']"
"apk nya sngt membantu, tapi kdng suka eror",apk nya sngt membantu tapi kdng suka eror,"['apk', 'nya', 'sngt', 'membantu', 'kdng', 'suka', 'eror']"
Kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa ? Padahal sebelumnya bisa. Tlg di tanggapi ya. Thanks,kenapa setelah saya update ke versi terbaru malah utk absensi di diskusi tdk bisa  padahal sebelumnya bisa tlg di tanggapi ya thanks,"['update', 'versi', 'terbaru', 'malah', 'utk', 'absensi', 'diskusi', 'tdk', 'padahal', 'sebelumnya', 'tlg', 'tanggapi', 'thanks']"
Out,out,['out']
"Untuk developer membuat sebuah sistem memang sulit. ini adalah sebuah pencapaian yang luar biasa, Terimakasih Developer telah menangapi Masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim. 🙏 Terimakasih ❤️🤝",untuk developer membuat sebuah sistem memang sulit ini adalah sebuah pencapaian yang luar biasa terimakasih developer telah menangapi masukan dan melakukan beberapa pembaruan pada sistem seperti sekarang dapat melihat file tugas yang akan di kirim  terimakasih ❤️🤝,"['developer', 'membuat', 'sebuah', 'sistem', 'memang', 'sulit', 'sebuah', 'pencapaian', 'luar', 'biasa', 'terimakasih', 'developer', 'menangapi', 'masukan', 'melakukan', 'beberapa', 'pembaruan', 'sistem', 'sekarang', 'melihat', 'file', 'tugas', 'kirim', 'terimakasih', '❤️🤝']"
"Muat mutar aja terus, aplikasi nya setelah di update nge stak di logo edlink nya doang ngak bisa masuk aplikasi",muat mutar aja terus aplikasi nya setelah di update nge stak di logo edlink nya doang ngak bisa masuk aplikasi,"['muat', 'mutar', 'aja', 'terus', 'aplikasi', 'nya', 'update', 'nge', 'stak', 'logo', 'edlink', 'nya', 'doang', 'ngak', 'masuk', 'aplikasi']"
